 TS, Iref, Isig, ATN, BC, RH, T, FR, Vbat
$2022-03-10 15:34:16,6200130,6957033,2.3891125,13.2314,1.09865,26.38056,150.7,7.08
$2022-03-10 15:34:18,6199652,6956065,2.3954229,11.6117,1.12764,26.39658,150.7,7.08
$2022-03-10 15:34:20,6199187,6955070,2.4023533,12.7428,1.11238,26.40994,151,7.08
$2022-03-10 15:34:22,6198723,6954163,2.4080334,10.4569,1.14595,26.39658,150.7,7.08
$2022-03-10 15:34:24,6198258,6953207,2.4143887,11.6947,1.11238,26.43931,150.7,7.08
$2022-03-10 15:34:26,6197781,6952281,2.4201145,10.5204,1.12764,26.40994,151,7.08
$2022-03-10 15:34:28,6197309,6951303,2.4267025,12.1168,1.18105,26.45266,150.7,7.08
$2022-03-10 15:34:30,6196847,6950349,2.4330502,11.6938,1.14595,26.42329,150.7,7.08
$2022-03-10 15:34:32,6196387,6949389,2.439537,11.8429,1.13069,26.43931,151,7.08
$2022-03-10 15:34:34,6195913,6948373,2.4466581,13.0042,1.06661,26.47936,151,7.08
$2022-03-10 15:34:36,6195455,6947393,2.4534721,12.544,1.14595,26.46601,150.7,7.08
$2022-03-10 15:34:38,6195001,6946446,2.4598637,11.6142,1.10018,26.45266,150.7,7.08
$2022-03-10 15:34:40,6194541,6945526,2.4658279,10.9648,1.11391,26.47936,151,7.08
$2022-03-10 15:34:42,6194075,6944642,2.4711313,9.7699,1.11391,26.47936,150.7,7.08
$2022-03-10 15:34:44,6193598,6943685,2.477335,11.4255,1.10018,26.49539,150.7,7.08
$2022-03-10 15:34:46,6193126,6942643,2.4848137,13.7392,1.11391,26.49539,151,7.08
$2022-03-10 15:34:51,6192096,6940236,2.5029812,14.641,1.10323,26.53544,151,7.08
$2022-03-10 15:34:53,6191640,6939076,2.5124483,17.3306,1.149,26.53544,151,7.08
$2022-03-10 15:34:55,6191200,6938028,2.5205526,14.8746,1.10018,26.52209,150.7,7.08
$2022-03-10 15:34:57,6190746,6937002,2.528121,13.8097,1.13222,26.55146,151,7.08
$2022-03-10 15:34:59,6190290,6936037,2.53477,12.1701,1.06813,26.53544,151,7.08
$2022-03-10 15:35:01,6189860,6935147,2.5407696,11.0213,1.13222,26.55146,151,7.08
$2022-03-10 15:35:03,6189421,6934253,2.546649,10.8043,1.13222,26.55146,151,7.08
$2022-03-10 15:35:05,6188956,6933300,2.5529947,11.6636,1.15053,26.56481,151,7.08
$2022-03-10 15:35:07,6188519,6932410,2.5588732,10.7709,1.11696,26.57816,150.7,7.08
$2022-03-10 15:35:09,6188067,6931439,2.5656919,12.5611,1.13222,26.57816,150.7,7.08
$2022-03-10 15:35:11,6187637,6930471,2.5728178,13.0131,1.07118,26.57816,151,7.08
$2022-03-10 15:35:13,6187220,6929591,2.5788689,11.0949,1.03609,26.57816,150.7,7.08
$2022-03-10 15:35:15,6186750,6928631,2.5852461,11.6681,1.10475,26.6209,150.7,7.08
$2022-03-10 15:35:17,6186324,6927710,2.5917435,11.9727,1.10475,26.60754,150.7,7.08
$2022-03-10 15:35:19,6185894,6926721,2.5991735,13.2179,1.08644,26.59152,150.7,7.08
$2022-03-10 15:35:21,6185452,6925532,2.6092854,18.6107,1.13527,26.60754,150.7,7.08
$2022-03-10 15:35:23,6185030,6924406,2.6188288,17.599,1.13527,26.6209,150.7,7.08
$2022-03-10 15:35:25,6184601,6923327,2.6276035,16.117,1.07118,26.6476,150.7,7.09
$2022-03-10 15:35:27,6184163,6922276,2.6357851,15.0954,1.07118,26.63425,150.7,7.08
$2022-03-10 15:35:29,6183775,6921352,2.6429853,13.3068,1.11849,26.6476,150.7,7.09
$2022-03-10 15:35:31,6183361,6920395,2.6502056,13.3217,1.11849,26.6476,150.7,7.08
$2022-03-10 15:35:33,6182936,6919408,2.6577053,13.8134,1.11849,26.66629,150.7,7.08
$2022-03-10 15:35:35,6182513,6918469,2.6645308,12.6035,1.10475,26.66629,150.7,7.08
$2022-03-10 15:35:37,6182090,6917515,2.6715765,12.9516,1.08949,26.69299,150.7,7.08
$2022-03-10 15:35:39,6181656,6916615,2.6776609,11.2343,1.1368,26.66629,150.7,7.08
$2022-03-10 15:35:41,6181255,6915680,2.6848125,13.1824,1.07271,26.69299,150.7,7.08
$2022-03-10 15:35:43,6180839,6914663,2.6928892,14.9062,1.1368,26.70635,150.7,7.08
